Bike,Stars,Title,Review,Time,Design and styling,Reliability,Comfort,Service experience,Value for money,Used it for,Ridden for,Ridden for if owned,Owned for,Tips for other riders,Review was useful,Review was not useful
Bajaj Platina 100,5,Best bike,"Experience.3) about mileage, new condition it gave 90km now its only 60km,within 6 months. Dropped 30km show room advertisement says 100, showroom people says about 80 but both are fake.4) about riding, you can manage upto 60km/hr beyond you cannot control.I can ride other sports bike up-to 120km/hr.5) about services, i don't know other bajaj service station but my service station is poor even they say free service i paid 800 for last two service and 500 for first service(including oil price 300).6) i observed black smoke within 7 months. Now starting also problem started.7) still some other brake issues but its enough.",7 years ago,4,5,5,5,5,Daily Commute,10000-15000 kms,5000-15000 kms,> 1 yr,Maintenance is low,3,2
Bajaj Platina 100,4,Adorable vehicle,"First of all, i would like to say its the best two vehicle for daily purpose. I can comfortably drive it to long distances. I never had any of the problem with this bike, even the average of bajaj platina is adorable. Around 70-80 kmpl. Sometimes i get some transmission lagging issue, but its very rare and no big deal in that. At the end of the day, i can say its one of the best product you can buy to satisfy your daily needs. Thank you!!",6 years ago,3,4,4,3,5,Daily Commute,> 15000 kms,15000+ kms,> 1 yr,"No alterations needed, its already in the contrast.",3,2
Bajaj Platina 100,5,Nice bike,Use neatly to get a amazing mileage nice bike it is it is from bajaj company and it is a commuter bike it gives 100 cc and a approximate speed of 100km/hr. It is the best mileage bike in India and 100cc bike list. At maximum rpm it is vibrate more.It is a low weight bike therefore at maximum speed it is swings.,4 years ago,3,4,3,3,4,Daily Commute,< 5000 kms,0-5000 kms,6 months-1 yr,Use neatly to get a amazing mileage.,3,2
Bajaj Platina 100,5,My dragon,"ProsThis bike gives very high mileage which middle-class people want.This bike is also very comfortable with a long seat.Very comfortable and easy to handle bike.Maintenance is also very cheap.Platina has a good look with a strong body.So totally affordable and comfortable bike ConsIf this bike abs present this bike is an all-rounder.The Footpad quality is a little bit decent.Till now this bike comes with normal light.In this bike battery problem is very normal, battery issue in this bike definitely.",25 weeks ago,5,5,5,4,5,Everything,> 15000 kms,15000+ kms,> 1 yr,"Engine oil change before every 3000km and also change your front tire within 3000km and back tire 1500 km to 2000 km.
And normal servicing within 7000km.",3,2
Bajaj Platina 100,4,Review,4. Servicing and maintenance . Purchased 2009 as sentiment when my boy was born. Am field service executive daily running 50-80 km chennai and urban.This model bajaj was introduced electric start and ally wheel with 125cc.. Regular i took an service with authorized service center m/s. Jai automobiles @ west mambalam very good experience..,6 years ago,3,5,4,5,5,Daily Commute,5000-10000 kms,5000-15000 kms,> 1 yr,Do periodical service regular with authorized service center..,2,1
Bajaj Platina 100,4,Buy platina,"Best bike for saving money nice mileage, awesome experience comfortable ride. I always use my platina instead of my activa 4g and hero honda splendor as it gives good result for long or short tours.I appreciate this vehicle good for mid class family and is also best for field working job or business. Any body can afford bajaj is a nice brand of vehicle pick up is also good.",6 years ago,4,4,4,4,4,Everything,> 15000 kms,15000+ kms,> 1 yr,No Tips,2,1
Bajaj Platina 100,5,Bajaj platina,"I am riding platina bike since 2007 and i am Satisfied from that bike, l  sold out..I buy a.New platina this year(july2018) .I enjoyed this new one also comfortable to daily ride.I am  a teacher.Daily travel about 35 kilometer. I wish you to express happy,because i travel without any accident.So that our family congrats your company.",6 years ago,5,5,5,4,4,Daily Commute,< 5000 kms,0-5000 kms,> 1 yr,No Tips,2,1
Bajaj Platina 100,5,Awesome bike,"Riding experience & details about looks,  performance etc. Drive always a speed of 45 to 60 kilometer  pet he's for better mileage. Pressure  of air in tyres checked properly. Sitting capacity is better than another bikes. I got the mileage of minty plus for long drive & eighty plus in local.  I feel very comfortable.",5 years ago,5,5,5,5,5,Leisure Rides,Never Owned,No Data,Never owned,Always ride at a speed of 45 to 60 for better mileage.,2,1
Bajaj Platina 100,5,Best Bike,It is a cheap and best bike of bajaj company. It looking so beautiful. I ride this bike very much.The mileage of this bike is very good.About 75-80km/l is its mileage.It is a comfortable bike. It is good according to price. Always check the engine oil and remove it.Always fill best oil in bike. It performance is very good.Anyone can ride this bike.,5 years ago,4,5,3,4,4,Daily Commute,10000-15000 kms,5000-15000 kms,6 months-1 yr,Ride comfortably and always maintain engine oil.,2,1
Bajaj Platina 100,5,Jackpot bike platina comfortec 100cc,1. I bought 2017 model platina comfortec. 2. This bike is very  amazing. I satisfied with it's mileage and engine sound.  It gives 72km/ltr mileage. And this bike's  suspensions are so good. It's comfortableness is so good.3. This bike's look is quite good. 4. Bajaj company provides best service centres. And it's maintenance cost is very low.5. Less weight.,4 years ago,5,5,4,5,5,Everything,> 15000 kms,15000+ kms,> 1 yr,Change oil after riding 3000kms. It gives your bike engine smoothness and long life engine.,2,1
Bajaj Platina 100,3,Platina bike review after 1 year,"Buying from bajaj is convenient though i don't like bargaining. riding isn't comfortable at all because i used to ride 100 kms at a stretch and i felt there is something wrong with the ergonomics.Looks are very simple, and performance wise of you rode this bike at a high speed after purchasing it's engine cylinder gasket will get damaged. As it happened to me i took this bike for a ride just in a week it was noisy and i felt something wrong with engine so i went to service centre and they told me you should have rode at 30 or 40 km/h for three months. Nonetheless i payed.Servicing and maintenance cost is low.Pros include only one thing that's mileage that too at low speeds. Low weight. Cons are you will not feel comfortable at high speeds and long rides of above 60 kms. Also the tyres aren't tubeless so you will have to face many puncture of you ride regularly.",4 years ago,2,1,2,2,1,Daily Commute,10000-15000 kms,5000-15000 kms,> 1 yr,Don't ride this bike above 40 kmph for 3 to 4 months according to bajaj dealers otherwise it will cost you just like I told.,2,1
Bajaj Platina 100,5,Awesome experience,While riding in it it was an awesome experience. Feels happy it was less weight and looks cute to touch it.It was giving unbelievable mileage. Maintenance cost is low.  Wanted to buy another for my father. Easy to load in a bus or train to make courier. No one will ashamed of keeping this simple and best bike ever.,7 years ago,5,4,4,4,4,Daily Commute,> 15000 kms,15000+ kms,> 1 yr,Change oil after 4000 kms,1,0
Bajaj Platina 100,4,My bike,I am totally satisfied because it is in our budget and easily buying it is so comfortable when i am seated and riding it seats are to long to sit with your family comfortable it looks are to glamorous and its mileage is so good main thing is it is in our budget i am totally satisfied it's servicing and its maintenance,7 years ago,3,3,4,5,4,Daily Commute,> 15000 kms,15000+ kms,> 1 yr,Use tubless tyre,1,0
Bajaj Platina 100,4,Bajaj suthesi motor cycle,"Very nice riding with good shock absorbers, also good mileageVery cool colors with twin spark plug technologyGood resale value and 125 cc bike with the rate of 100cc provide by bajajGreat money value bike from bajaj and reasonable good durability very less maintenanceFeel more than 20000km no trouble shooting found",6 years ago,5,4,4,5,No Value Rating,Daily Commute,> 15000 kms,15000+ kms,> 1 yr,Provide tubeless tyres,1,0
Bajaj Platina 100,5,Excellent bike for new generation,Excellent bike for the new generation  good suspension for Indian roads even bumping road riding is smooth not affect  the control Rear suspension is exceptionally good as shown in advertising Head lamps is much more improved than any other bike in the same segments Seat is quite comfortable for two .Finally excellent mileage is 80kmpl,6 years ago,5,5,5,5,5,Daily Commute,< 5000 kms,0-5000 kms,> 1 yr,No Tips,1,0
Bajaj Platina 100,4,Value for money,"Bajaj platina is most reliable bike on market since launch,bike provide you better comfort with vopping mileage of >50 km/hr,till now with this bike i ride almost about 80,000 km,with no issue in it.This bike never ever hurt your pocket because of it's low maintenance cost,whether you change oil or shock absorber or any other thing in this bike.Best value for money",6 years ago,2,5,4,5,5,Daily Commute,10000-15000 kms,5000-15000 kms,> 1 yr,change oil after 4000-5000 km,1,0
Bajaj Platina 100,5,low budget bike with passion,"Hi, pickup is good ,mileage is good, & shock absorber is good. I feel like sitting in a car, road grip is also good , need to check on service point of view & spare parts is expensive don't now? i would recommend to buy it with low budget with passion bike & family bike. I have taken it for office use and mileage is very good.",6 years ago,4,5,4,4,4,Daily Commute,< 5000 kms,0-5000 kms,< 3 months,Some one has to guide when we should change the oil and maintenance.,1,0
Bajaj Platina 100,5,Super,"Buying experience so interesting, riding experience butter, looks good, performance very good, servicing and maintenance no problems so the bike so good so you have buy super performance and well idea for the suspension and mileage and suitable for biker to riding good bike good life for this bike and buy it immediately.",6 years ago,4,5,5,5,4,Everything,10000-15000 kms,5000-15000 kms,< 3 months,Okay,1,0
Bajaj Platina 100,5,A perfect bike for all ages..,"Bought this bike on finance and it is too much easy.. Only u have required documents they want.  I purchased new model and experience is damn good. Anyone who wants comfort, style, and average go for it. Having dtsi engine in this category and such a smooth riding experience. Bajaj also provides some free services you can maintain easily at less cost.",6 years ago,5,5,4,4,4,Daily Commute,< 5000 kms,0-5000 kms,< 3 months,If anyone looking for racing bike. Not recommended for those,1,0
Bajaj Platina 100,5,Best bike at low price,I am having old model of platina (2009). It's gonna 8-9 years and it runs very smoothly. I don't think any other bike will provide this type of mileage and comfort in less amount..I think if they will increase price of bike then there will be no problem to customers.. When i bought this bike it just smell the petrol...,6 years ago,4,4,4,5,5,Daily Commute,> 15000 kms,15000+ kms,> 1 yr,No Tips,1,0
Bajaj Platina 100,5,Review,Riding experience very good .Buying experience is very good  very good bike to mileage and speed so good 90 km per hour.. Servicing and maintenance very low cost .. Bike look r very beautiful. .Bike mileage 80 km per 1 liter petrol very comfort bike &  very large seat three person seating bike seat ..So very good bike,6 years ago,4,5,5,4,4,Daily Commute,> 15000 kms,15000+ kms,6 months-1 yr,yes,1,0
Bajaj Platina 100,4,Super bike in low budget and excellent mileage,"Wow its amazing bike, now i am using this bike platina so i recommend for every one in low budget and its give best mileage, no much more extra charges for fitting and spare parts also better than other bike for quality wise  minor problem is  little vibration while driving more than 60 speed other than all are good",6 years ago,4,4,4,4,4,Daily Commute,< 5000 kms,0-5000 kms,3-6 months,Just for regular check up like petrol and a while driving  but don't go more than 70 km speed,1,0
Bajaj Platina 100,5,Review,"I brought this bike on my first sight as it was looking very nice. Sparingly used , mileage good, looks stylish,smooth drive. Bindass go on long drive. Even during night as the head light is very good. Servicing done on time even if it stands idle. Just one self & ride the bike & feel the difference.",6 years ago,4,5,5,4,5,Occasional Commute,< 5000 kms,0-5000 kms,> 1 yr,Change oil after 3500 km & check air pressure once a month.,1,0
Bajaj Platina 100,5,Very good bike,Very good bike and budget bike and super for common man  and lower public and very good superb bike all off public and very nice and comfort bike and in long route is very best for average and all way its good for common man  so please purchase this bike and this bike very nice and good,6 years ago,4,5,5,4,4,Daily Commute,5000-10000 kms,5000-15000 kms,6 months-1 yr,No Tips,1,0
Bajaj Platina 100,4,Bajaj platina! why not,"The bike is readily available in most showrooms.It gives a comfortable riding experience for 2 person.Its main highlight is its performance,it is solid performer with mileage above 80 kmpl even in roughest condition.It is low maintenance vehicle,light weight and frequent servicing is not necessary.The bike is a best value for money.For daily commuting this bike provide a comfortable ride at very affordable price.",6 years ago,3,5,4,3,5,Daily Commute,5000-10000 kms,5000-15000 kms,> 1 yr,Doing general maintenance regularly  helps in preserving the performance.,1,0
Bajaj Platina 100,5,I love my bike,"I am riding this bike from past 8 years and i love my bike.... Purchasing was just in 2 days after booking, i have driven this bike 355km in single day and i was comfortable with it's feature's , it looks more amazing , can ride up-to speed of 115km/he , have a very good service in mysore (home town) , it can be well maintained for middle class people mileage is amazing from about 75-80kmpl  even after 8 years.... And all my friends are jealous about mileage what i get in my bike",6 years ago,5,5,5,5,5,Daily Commute,> 15000 kms,15000+ kms,> 1 yr,It's good with oil change and single rider,1,0
Bajaj Platina 100,5,Platina,I bought platina model 2013 and i have a good riding experience.  Its look is very good.Very less sound of engine.Performance is very excellent.Service of bajaj is good and no maintenance. Mileage of platina is around 70 to 80 kmpl.Lighting and braking system is good.Jumper is of nice quality. seat quality good,6 years ago,5,5,5,5,4,Daily Commute,5000-10000 kms,5000-15000 kms,> 1 yr,No Tips,1,0
Bajaj Platina 100,5,My honest experience with this bike!!!!!,"I love my bike bajaj platina. Performance wise this bike is excellent. Also no hidden  maintenance cost. Considering mileage, i am getting 85 km / litre. Very useful and economic because now a days petrol prices are hiking day by day. Very useful in city riding and trips up to 60 to 70 kms everyday.",6 years ago,4,5,4,3,5,Everything,> 15000 kms,15000+ kms,> 1 yr,Change oil every 2500 kms and check tyre pressure once in a week.,1,0
Bajaj Platina 100,5,Amazing,"Platina bike is very beautiful in design and it's giving an amazing mileage....It is very better for middle class employees for better performance...It's very trustworthy in buying experience and when its riding very comfortable and feel is very happy service also  very good maintenance also very easy, very satisfied.......",6 years ago,5,5,5,5,5,Daily Commute,> 15000 kms,15000+ kms,> 1 yr,No Tips,1,0
Bajaj Platina 100,5,Review,Awesome bike . Good mileage. No maintenance. Easy to ride and light weight. Good upright posture. Comfortable. Power is good . Pickup is also very nice . Using it from past 5 years. I would recommend to all the college going students instead of purchasing the expensive bikes go for this . Shock absorbers are also very good.,6 years ago,5,5,4,5,4,Daily Commute,< 5000 kms,0-5000 kms,3-6 months,No Tips,1,0
Bajaj Platina 100,5,Bajaj.....Name is enough in market,"Bajaj....Name is enough in market.I have bajaj dominar 400cc & also a platina. I ride my platina approx 10000 km and its performance,riding quality,mileage all are awesome.I get approx 80 kmpl mileage in my bajaj platina. It is superb bike for daily use, it's average is awesome and very low maintenance then other bike.",6 years ago,4,5,5,5,5,Everything,5000-10000 kms,5000-15000 kms,> 1 yr,"My opinion for riders...Change your engine oil after 3000 km,maintain your tyre pressure and important wear helmet and safety equipment while riding your bike.",1,0
Bajaj Platina 100,5,My first bike,"Bajaj platina is my first  bike.This bike is one of the best bike in this price.My first riding experience on this bike was great.And still i'm using this bike. It's looking very good with black colour.It has low servicing and maintenance cost.So, this bike is very cheap.And the most amazing thing is average 90kmpl cool.",6 years ago,5,4,5,5,5,Daily Commute,5000-10000 kms,5000-15000 kms,6 months-1 yr,No Tips,1,0
Bajaj Platina 100,5,Amazing experience,The best bike for daily commuters. Best in  average. Performance is even good.Look is ok. Maintenance is negligible in this bike. The new variety is with increased power and pick up. But not for people who want something sporty.But if you are a daily commuter and wants a bike with low budget then just go for it.,6 years ago,4,5,5,5,5,Daily Commute,> 15000 kms,15000+ kms,> 1 yr,Just don't heat the engine and change gears as required.,1,0
Bajaj Platina 100,4,Value for money,"Price of bike is very reasonable, showroom staff was also very cooperative, great mileage but the displacement is low so it is good for commuting only can't be used as a sports bike, problem was in chain set mainly but the service cost was low so was easily covered overall its a nice bike at a reasonable price.",6 years ago,3,2,3,3,4,Daily Commute,5000-10000 kms,5000-15000 kms,> 1 yr,No Tips,1,0
Bajaj Platina 100,4,My first bike,"Actually i don't own a bike. Because we could not afford it. Whatever i m talking is about my friends bike. And i m very honest about it. Riding experience - today's generation look for attractive looks and speed. Apart from it when we look for first bike of our family our thinking is all about its mileage, comfort, and efficiency, which we get in bajaj 'platina 'Look & performance - its provide a better services than other bikes of same cost. It works more than what we think about it. Service & maintenance - it rarely requires it moreover it depends on user. The more you care for your bike better it will perform. Pros &cons - pros are many lets talk about cons. As it a product from bajaj people have problem with gear understanding but that will to vanish if you own it, you will learn easily. Its best bike i have ever ride as it helped every time i need it. Thank you.",6 years ago,4,4,5,4,4,Daily Commute,10000-15000 kms,5000-15000 kms,> 1 yr,No Tips,1,0
Bajaj Platina 100,5,Mileage is super,Great experience with platina love this bike to ride on city for like delivery boy. It's comfortable and happy riding... One cons is that not suitable for long riding distances like that 100-150kms. Simply run into 50-60 kms per day its good for you. Over all great experience with bajaj love this bike value of money and mileage is super.,6 years ago,3,3,4,4,4,Daily Commute,< 5000 kms,0-5000 kms,< 3 months,Vibration charges.,1,0
Bajaj Platina 100,4,Best mileage bike,Its bikes price cheapest cost than honda and best looked other bikes seat is very comfortable on riding  but lowest pickup but average / mileage is best 75 above in rush-able area pickup power is poor but riding on the way like zigzag to best comfort on road maintenance cost also lowest than other bike.,6 years ago,3,4,5,4,4,Daily Commute,Never Owned,No Data,Never owned,Change oil after 2500 km.,1,0
Bajaj Platina 100,5,Mileage,Mileage king in bike and good performance look like a good bike and simple weight special thanks to bajaj most of the ordinary people are use the bike and fantastic more choices of colours and i again and again happy for this mileage and this bike selling bajaj is small prices and comfort for small small rides.,6 years ago,4,4,4,4,4,Daily Commute,< 5000 kms,0-5000 kms,> 1 yr,3000,1,0
Bajaj Platina 100,5,All in one features available,"Style easy to ride, nice features and looks different in the crowd (of 100cc bikes).Engine performance, fuel economy and gearbox engine: engine has reasonable power and pickup but little lower than similar bikes of hero and honda. But the trade-off is its awesome mileage.Fuel economy: i was able to extract 88 kmpl maximum and currently getting around 81 kmpl in city riding that includes heavy traffic.Gearbox: it's smooth. No false neutrals unless the engine oil goes dirt black. Gear ratio seems optimal for the power of the bike.Ride quality & handling i have done numerous long rides on the bike. Not a single time there was breakdown. Even long drives of 100 km at a stretch does not fuse engine provided you drive sub 60 kmph speeds (that's what the bike is designed for).For city driving, handling is great. Very easy to drive through traffic. Engine starts the first kick every-time. Final words this is for you if1. You are not hungry for power and speed.2. You need it for daily commuting from city traffic and occasional long drives.3. Mileage is your primary constraint.4. You are looking for moderate comfort.Areas of improvement projection and power of head lamp. It is too week in cities. I have been able to drive seamlessly when it is totally dark (a rainy night for example) with the same headlight. Smile Pros Mileage, comfort, fuel tank capacity, stability, rug performance Cons Power, head lamp.",5 years ago,4,3,4,4,No Value Rating,Everything,Never Owned,No Data,Never owned,No Tips,1,0
Bajaj Platina 100,4,Cost-effective,"This is a best motorcycle if you are talking about the increasing fuel prices and mileage.It requires less maintenance and is quite comfortable to ride on.Moreover when performance of this bike is considered it is good at this low price under 50000rs. Frankly speaking, comparing rising fuel prices and monthly running cost of a bike ,this is a pure selection of profit.",5 years ago,3,4,4,4,4,Daily Commute,5000-10000 kms,5000-15000 kms,6 months-1 yr,No Tips,1,0
Bajaj Platina 100,5,Review,"This is a very good personal vehicle, does not matter for daily commuter, or occasional, even for a long ride of 150 km. This bike is an expert - mileage, performance, economic viability etc. I recommend this bike with full conviction. Even sometime i do not get reservation in train but i am confident that i have my travel mate with me all the time to support. Thanks bajaj for this great bike............",5 years ago,4,5,4,3,5,Daily Commute,> 15000 kms,15000+ kms,< 3 months,No Tips,1,0
Bajaj Platina 100,5,2018 lover bike best mileage bike,"Platina bike is best bike to all bike because this are give best mileage and they are not costly , riding in smooth and comfortable bike to riding back sit a jumper a comfort, looks like a best looking to middle class performance is very very best this bike easy to service  no extra maintenance  cost is easy best option in this bike mileage is more than best to best .",5 years ago,5,5,5,4,5,Daily Commute,> 15000 kms,15000+ kms,> 1 yr,"First oil change = 500 km
Second time Chang oil =1500 km
Third time change oil= 2000 to 2500 km  to giving a best mileage.",1,0
Bajaj Platina 100,5,Best mileage bike for daily commute,"Best bike for daily commute. It has some cons such as on high speed it's handle starts bubbling but if you want good mileage then it is best option to buy. Overall it's ownership experience was very good. My bike become 10 years old, it's engine was good till now, very low maintenance cost.",2 years ago,4,5,5,5,5,Daily Commute,10000-15000 kms,5000-15000 kms,> 1 yr,Tubed type tyre are better if you live in rural areas,22,22
Bajaj Platina 100,1,Platina 100,"Very poor brake system. low mileage, low quality, overflow problem, starter and  brake pressure problem. Don't buy 100 cc bike.",2 years ago,1,1,1,1,4,Everything,< 5000 kms,0-5000 kms,< 3 months,No Tips,16,16
Bajaj Platina 100,3,Not comfortable,It's very bad for daily users Because it's giving back pain too much And it's comfortable was was very poor 40-50 kmph it's gives 80 kmph. If we reached 60 above it's given 57 kmpl. So this is comfortable for normal users. So boys please keep distance to buy it This bike is good for above 55 year peoples Mind it.,5 years ago,3,5,2,5,4,Daily Commute,5000-10000 kms,5000-15000 kms,< 3 months,Change engine oil for every 4000kms so it's good for mileage.,11,11
Bajaj Platina 100,4,Review,"This is a good family bike, with good performance and very strong a long seat. India's best mileage bike in a good brand motorcycle. This bike price is very good another byke. India's best mileage bike. Suspension is very good for this bike. This bike is always good. So my Next Bike is a Bajaj Platina 100.",48 weeks ago,4,4,4,4,4,Everything,< 5000 kms,0-5000 kms,< 3 months,Maintenance expenses are good for this bike,9,9
Bajaj Platina 100,5,Bajaj platina,"This is an excellent bike for daily usage within the city as this bike gives excellent mileage which is very beneficial for nowadays as the prices of petrol is being gone up everytimeAlso, the looks are also very good and the sitting posture is marvelous and the ride quality is way more than enough compared to its price.",2 years ago,3,4,5,5,5,Daily Commute,Never Owned,No Data,Never owned,No such heavy maintenance is required.,7,7
Bajaj Platina 100,4,Good bike for mileage,"Good handling & good mileage. Average barking Comptable sheet Low head lamp  light. Not good for  overtaking, I think good pick up at this price range, I am face problem front mudguard problem & bulky sounds not a good for this bike. Riding experience i think good. Average look but good one Low maintenance in bike was plus point",5 years ago,3,4,4,4,4,Daily Commute,> 15000 kms,15000+ kms,> 1 yr,I am change oil 7000 km.,6,6
Bajaj Platina 100,5,Platina comfortec,Bajaj platina comfortec is my favourite bike and i'm challenging all bike's not giving the mileage like a platina and comfortable My bike milage is in the city giving it around 75 to 80 and highway mileage is 85  Platina is a more comfortable to other bikes like hero splendor and honda dream yuga and i'm proud bajaj company Making like a horse.,5 years ago,4,4,5,4,4,Daily Commute,< 5000 kms,0-5000 kms,< 3 months,No Tips,6,6
Bajaj Platina 100,3,Platina review,"The ride was an utter smooth experience. Few accessories which i asked for were already fixed. Windshield was added when I reached there it needed few alterations like in the front number plate bar. Oh! what a feeling that was. The bike jumps on a flick of throttle. Had to control the urge to twist my wrist. 1st stop was petrol bunk as the bike was in reserve. One should have looked at the people drooling. Metallic gray paint with dash of red colored suspension and rim stickers and few stripes. This bike is all you need to turn some heads and hear some wows. After around 7 months of riding it in and around Bengaluru, here is what my experience.Pros1. Awesome looks. 2. Refined engine but still gets some vibration around 4-5k rpm3. Great acceleration. 4. The bike feels very light in terms of handling despite its light weight. Not meant to do zig zag in traffic but has decent maneuverability to get you past stuck cars. 5. Turning the bike is a bliss with the low seat height. (i am 5'6"")6. Works like charm. Braking is decent enough to stop bike from 70 km/h to 0 in less than 20 meters in dry conditions7. You won't need 4,5,& 6th gear in city.Cons1. Overall mileage is good. Much less than claimed. It might be due to my riding style. I prefer lower gears in city for quick acceleration.",3 years ago,4,3,4,3,4,Tours,5000-10000 kms,5000-15000 kms,3-6 months,No Tips,6,6
Bajaj Platina 100,4,Good Bike Just Go For it,It Was Totally Worth Buying For me It Does All My Daily Needs Good Mileage Better handling service is So Cheap The pros Is It's Good Mileage its servicing Cost Is very low but its cons is that it does not have any tubeless tyre no digital meter nit Having An disc Brake of an 100 cc variant and it is so Good,48 weeks ago,4,5,5,4,5,Daily Commute,5000-10000 kms,5000-15000 kms,< 3 months,Proper Service of Bike Can Have your good experience with the bike,6,6
Bajaj Platina 100,5,Platina is our platinum,"This bike is really excellent for who are at sales jobs. The mileage in this bike is up to 110 as per my personal driving. Platina is very comfortable bike for all types roads, and ground clearance is also good. This vehicle lighting also good. And brakes also good. Only the problem is road grip is not good.",7 years ago,5,5,5,5,5,Everything,> 15000 kms,15000+ kms,> 1 yr,Please avoid sudden brakes due to road grip.,4,4
Bajaj Platina 100,5,A great experience,It's great buying experience with this bike i got this bike in 53000 on road .Riding this bike is amazing experience because of it's looks you feel really comfortable while you drive this bike .It's maintenance is high due to bajaj bike if you not maintain this bike this average going under 60 so be regular maintain this bike Overall you can buy this bike it's great experience to riding this bike.,6 years ago,4,3,5,3,4,Daily Commute,> 15000 kms,15000+ kms,> 1 yr,Ride this bike under 50-60 it's best average this bike can give to you .,4,4
Bajaj Platina 100,4,Great experience for driving bjaj platina 110,"I was bought bjaj platina 110 about 10 years ago,.Bike is superb quality,super specifications, great mileage, engine is less of good parts, more powerful than other bikes, plus self start is best key to provide you savings your time in traffic area. Kick start is also option in winter. I drives on road and rough road , the customer service is good, maintenance costs is don't mind.It's experience is good. Its all pros.Cons is all are we know that break wires,break parts is some times we changes..",4 years ago,4,4,4,4,5,Everything,> 15000 kms,15000+ kms,> 1 yr,No Tips,4,4
Bajaj Platina 100,5,Review,"1- low price & this price is most of comfortable for this bike 2- riding smoothly & medium vibration of this bike 3- very very nice looking model, front side & back side are very nice looking. 4-low maintenance , change the oil after 2000 km riding of bike then increase the life of bike & stable performance of the bike.",4 years ago,5,5,5,5,4,Daily Commute,< 5000 kms,0-5000 kms,> 1 yr,Change oil after 2000 km.,4,4
Bajaj Platina 100,5,Best bike,"It is a best bike for mileage preferred person....I also like this bike as modi increasing petrol price day by day. New version style is better than old model . Bike is so smooth on riding and gives a gentle ride. I never felt back pain after riding it . So i suggest to buy this bike then other bike , who preferred mileage.",6 years ago,1,1,1,1,5,Daily Commute,Never Owned,No Data,Never owned,No Tips,3,3
Bajaj Platina 100,5,Bajaj platina review,"This bike is amazing and sweet bike , this bike mileage is amazing 85 - 90 per liter , pickup is also good comfort bike to ride in 100 cc ,body look like heavy and sharp some look as sporty like ,, price is near about 45000 , any person can afford this bike, this bike  nearly not maintained bike this is the plus point... I suggest purchase this bike  and to helpful in your life ...",6 years ago,5,5,4,5,4,Tours,> 15000 kms,15000+ kms,> 1 yr,"my experience 1 - time to time service 2300 km per ride ,, tyre tube casually changed in 1 year  for safety ... fuel tank always keep 3 to 4 later in tank ... spare parts find every mechanic shop ..",3,3
Bajaj Platina 100,5,Great bike,"Platina the name says that we are going to destination with out any trouble. I will buy in 2009 my dream lovely bike & my 5 years daughter also loved it. Great company,great care our nearest dealer & staff. Bike colours are so cute. Mileage of bike is best from another bike. So my family own it for ever.",6 years ago,5,5,5,5,5,Everything,> 15000 kms,15000+ kms,> 1 yr,Change oil in 2000 km & take care of small trouble.,3,3
Bajaj Platina 100,5,An awesome ride,It was a good decision that i bought bajaj platina. The riding on platina is super. I enjoy a good riding experience.The look of platina is amazing. The graphical works gives a great look. It has a good performance and mileage. I have got a mileage of 80-100kmpl. It gives a smooth ride till 50 km speed Cons.It is not so smooth to use above 60 km speed.,5 years ago,4,4,4,4,4,Occasional Commute,5000-10000 kms,5000-15000 kms,> 1 yr,"Change oil for every 3000 km 
Clean its head regularly
Do not use break frequently.",3,3
Bajaj Platina 100,5,Bajaj platina bike,This bike is very suitable for middle class worker or farmer because its efficiency of engine is very high its give a more mileage in less price so as compared to the other bikes platina is the best bike. Its a light weight so it is very easy to operate anybody in any condition in case of fuel is totally burn it is not difficult to travel a distance in hand upto petrol pump.,4 years ago,5,5,5,5,5,Everything,5000-10000 kms,5000-15000 kms,> 1 yr,No Tips,3,3
Bajaj Platina 100,5,Super bike,"Super budget bike. Spot quick delivery.Smooth driving. Beautiful looks. Speed and good services. Very good local in mileage 80 km/li. Long driving is 88km/li. Totally i am very lucky. I love my platina 100 es alloy wheels bike. I go long driving in couples driving so smooth ! my family like this beautiful bike, platina 100 es alloy wheels red color.",4 years ago,5,5,5,5,5,Daily Commute,> 15000 kms,15000+ kms,> 1 yr,No Tips,3,3
Bajaj Platina 100,5,Economic bike ever,I got extremely good is in economical range that everyone want to get ever considering mileage pickup and services as well. Though it is good with that all things and also in addition to visual appraisal and durability of the bike as well in good appreciation as well my opinion to purchase of this bike is very clear in way rather who want to get bike of much more money then it is better to choose.,4 years ago,5,5,5,5,4,Everything,5000-10000 kms,5000-15000 kms,> 1 yr,No Tips,3,3
Bajaj Platina 100,5,I love this bike,"This is very good bike for fuel efficient.. I this bike very much i love to ride this bike i am very happy to purchase this bike, mileage is so good platina is very good bike which i think very comfortable bike which i drive ever i will always use this bike for daily use it reduces your mileage cost..",4 years ago,5,5,5,5,5,Everything,> 15000 kms,15000+ kms,6 months-1 yr,Keep cleaning the bike always.,3,3
Bajaj Platina 100,5,Platina,I bought platina in year 2007.Before buying i checked lots of bike hero and yamaha and tvs but last i final choice was platina. It' s long by seat and light weighted and best in mileage. And most important is it's maintain free bike.You just need to feed oil regular basis to boost its average mileage. Superb bike. Just hurdle to travel more then 400klm travelling in one day as it's speed max to 90-97.,6 years ago,5,5,4,4,5,Daily Commute,> 15000 kms,15000+ kms,> 1 yr,2700 KLM change oil,2,2
